169.234.97.101 - - [04/Mar/2018:13:00:00 -0800] "GET /project3/run_search?title=Good&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:13:00:00 -0800] "GET /project3/movie_list HTTP/1.1" 200 13871
169.234.97.101 - - [04/Mar/2018:13:00:00 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:00:00 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:00:00 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:00:00 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:00:03 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:13:00:06 -0800] "GET /project3/run_search?title=good&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:13:00:06 -0800] "GET /project3/movie_list HTTP/1.1" 200 13871
169.234.97.101 - - [04/Mar/2018:13:00:06 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:00:06 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:00:06 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:00:06 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:00:15 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:13:02:13 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:13:02:17 -0800] "GET /project3/run_search?title=good&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:13:02:17 -0800] "GET /project3/movie_list HTTP/1.1" 200 13871
169.234.97.101 - - [04/Mar/2018:13:02:18 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:18 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:18 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:18 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:23 -0800] "GET /project3/Autocompletion?query=goo HTTP/1.1" 200 3211
169.234.97.101 - - [04/Mar/2018:13:02:24 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:13:02:31 -0800] "GET /project3/run_search?title=Good+Bye+Lenin%21&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:13:02:31 -0800] "GET /project3/movie_list HTTP/1.1" 200 3537
169.234.97.101 - - [04/Mar/2018:13:02:31 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:31 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
